star,comments,labels
4,"Wow.. First of all I was skeptical about investing so much money.. Then I said, screw it and went for it. Totally not disappointed brothers. Here are my 2 cents.Pros:Best pro: ip68 water proof. I took it into the water stream and all my friends were surprised. Too much fun.1. Kirin processor 980..the 7nm chipset definitely is faster than my sd 845 mobile. I hv a mi mix 2s. Also consumes less power, hence long lasting.2. Best in class gpu. You can play all high end games with out any lag.3. Main feature is the camera. I think the attached pics will say it all.4. Bundled Software: huawei health, hi vision are too helpful. I m still getting used to EMUI.5. OLED screen. Boy this is so cool to look at. Mid day sunlight and still it is bright af. Cript 4k videos as well. Loved it.6. Super fast charging. 36 minutes from 0 to 100 when screen is off).7. Dual 4g support. Yep I can my idea as default isp and still use jio.8. List can go on, but i m bound with number of letters.Cons:1. Sound port: it is same as the charging port. So if the phine is on charging, sound gets muffled.2. Emui needs update to reach to ""switch mobile network"". Now i need to navigate inside settings to change that.3. Notch design. I fking hate it. Phone has the ability to omit that, but still I m losing some precious screen space.4. Not really a con, but 3.5 mm jack is missing.I hope this will help you decide the right phone for you. Peace.",1
5,"I've been using this one for the past three days. Starting with the battery life its amazing. Whether you do gaming, watch Netflix it easily lasts for 6-8 hours. And on normal usage browsing and music it can easily get you by the day. Charging is super fast. It gains 1% every few seconds while charging. Display is amazing. Colours are very vibrant and punchy. Switching between apps. Opening and closing them is lightning fast. No lag at all no matter how many you pop open and close. Phone almost never heats up during usage. Though it gets a bit warm during extended camera usage. I'm talking about couple of mins here which indeed needs improvement. Camera is super fast at clicking, focusing and switching between modes as well. Camera's artificial intelligence is amazing as it easily selects the best mode depending on the scene to be clicked. 40 megapixel primary rear lens is a beast at producing some high resolution pics. Zooming is not allowed on this lens. So that's a bummer. Front 24 megapixel produces some good portraits as well. But the front camera needs a bit of an improvement. Hope they do this through software updates. Rear camera setup is amazing. Easily goes on par if not beyond pixel 3's capabilities. NIGHT MODE is really something on this device. But I would say not recommend for moving objects. But when the object of focus stays steady for 4 seconds then you see some miracles captured on your device. They are quite a few interesting filters and I guess more will be added to camera interface in the near future. Face unlock works like a charm even in darker environments. Finger print sensor needs a bit of an improvement. Works 7/10 times which needs to be fixed in future updates as well. On the whole this is the first Huawei phone I'm using and I can say that it easily outclasses other premium competitors. Hope to provide you with more information again after one month.",1
1,Recieved a faulty set with green line of death on the display.. Waiting for refund.,0
4,Everything seeme ok but phone back glass is very slippery and seems they delivered to me thier previous generation one and not the one new generation where it is mentioned like they  overcome this by doing some changes.Some times phone performance is super but it suddenly lag at certain point and this was not the case of my previous one plus 3 Will add m,0
5,"Super fast and smooth....Design is appealing......Awesome battery.....Super display with good sunlight legibility......Its a breeze to set up.....Call clarity and data reception up there with the best.....Fingerprint sensor can be improved....Feel that this is the one function that does not match all the others....Storage adequate however the NM card is not yet available....Requires a back case that defeats the beauty of the back panel finish....EMUI sucks once again however the functional options that it offers is far superior to the vanilla version....Takes quite some time to figure out all the options in the settings....Go for Nova launcher for a clean UI....Speed of charging is the fastest across all charging technologies.When compared to the price of Apple phones this one is a steal considering all the specs.Camera is awesome especially the night mode. Up there with the best. Totally satisfied. Amazon was spot on with packing, security and delivery.",1
1,Fingerprint not Woking for Apps like banking or any other Apps which fingerprint Enabled,0
5,"I have ordered this on January 1st, expected a Wireless charger as Gift but was little disappointed.This is based on my couple of days of use. The mobile itself feels premium in hands with its colour (Twilight Blue rocks too bad you will end up covering it's gorgeous back with a case). You definitely need a strong case to protect this mobile as I see this could cost a fortune for your carelessness.In the hands it looks bit tight, slightly lighter than Note 8 or 9, it's Notch definitely takes some amount of top display.Overall build quality if not like iPhones, it is definitely premium like Galaxy range mobile.Display is one of the best. Curved edges reminiscent of Galaxy mobiles. AMOLED really peaks your eyes with popping colours. Display options allow you to play with tones. These are becoming increasingly standard now a days.Performance is excellent so far though I am no Gamer or heavy video user. No sign of lagging when doing many things.Camera is simply the best out in the market. There is absolutely no competition so far. Low light, portrait, landscape all coming out with great amount of detail and accuracy in colour. Haven't tested video recording. You may need bigger storage option because each portrait itself occupies 8 MB.Wireless charging is good, battery performance requires more testing but based on my Honor 10 experience, and Kirin 980 7nm SoC clearly going to deliver optimal and efficient performance...I have no doubts.Call quality, speaker performance (Dolby Atmos), network coverage options like WiFi, VoLTE all seamlessly working bout of the box.EMUI 9.0 based on Android Pie gives you great experience, customisation options in notification, but launcher itself is outdated look (mimics iOS).All iPhone features like navigation dock, FaceID(it is good for me) working fine. onscreen fingerprint sensor doesn't disappoint. I use navigation dock gestures for home screen, going back, close all etc...cards like preview of apps in use kind of resembles iOS.This is certainly no one handed phone for the most. It would be nice if they put a screen protector like they do it for Honor 10.I have to get it's music capabilities yes I could find audio jack something that is becoming big discussion point.It is IP68 rated for water resistant, it's AI capabilities in various things related to Face Recognition, Camera Portrait, Google lense a real advantage for auto focus etcOverall, this is expensive but it's never a compromise. It has all capabilities of iPhone XS Max but almost 50% less! You won't complain for sure!All the best and wishing you all a very happy new year!",1
1,The product doesn't have CDMA capability as the seller advertises.,0
5,"You really can't go wrong with the battery life on this phone. Main priority and it nails it.The camera is second to Google's photography but it definitely has it's optical advantages of the superior lenses.The audio quality is OK i guess, don't really bust rhymes out of the speaker much so wasn't affected by the speaker placement behind the type C port.Emui sucks. Get a 3rd party launcher as soon as you get it. But I must warn you that gesture navigation works really bad with 3rd party launchers.Also, i am not a big fan of the color, i really expected a standard black color option but huawei for some reason thought it's a good idea to enter the Indian market with a green and twilight color options with no standard ones.The standby time is hopeless unless you turn off all internet connections and put the phone on battery before going to bed.You really can't find a much faster charging solution as of right now. I have seen it go from a dead cell to 90% in 35min. The last 10% is slow. Like OP6 dash charge speeds. Yes, i considered that as slow as you have no idea how quick this is to charge are 4200 battery to 90% in 35 min. It's stupid fast.There are other gimmicks like reverse wireless charging which I've used it a few times, it's helpful when yyor friend has wireless charging and his battery is dead as  battery never dies.Here's the thing, my previous phone, samsung S8+, i charged it twice a day. I'm such a user.And the same person could not kill the battery in one day of this beast.Huawei really did many things right and I'm satisfied with that I've received.",0
5,"I don't like the finger print scan it sucks really.. remaining it's the best ever phone that seen and touched.. ppl who purchased Samsung and I phones.. why not buy a phone which has everything, 3Dscanning, edge screen, oppo kind of front fingerprint, with lots of innovation.. just go for it..",1
5,"Simply awesome in all aspects, It would have great if Huawei give wireless charging device with extra cost also ok, I was using honor view 10 earlier so I did not feel much difference except display ... Missed bundled offer ( wireless headphone) because of not understanding Amazon offer rules,",0
5,"One of the best phones.Pros: Super cameras, extraordinary battery performance, visual appeal.Priavte space is one of the best feature which I liked and is very useful.EMUI software has both pros n cons but it still need to improve a lot in it's overall usage ease.Cons: In display fingerprint reader.",1
5,"I was using google pixel 3 XL for about a month, before that pixel 2 for a year , after i bought mate 20 pro which i got on 8/12/18 ,It seems that google and apple phones are just piece of crap , i don't have words to describe the awesomeness of this phone, close your eyes and buy this it will not disappoint in any manner",0
5,I still didn't get time for capture pic through the primary camera. Which was that much hype. But I capture selfie which is quiet good and as per expection. Headphone is good but I am not comfortable with the size so I am using the extension type c with audio jack. Quality is same.,0
5,"Huawei has done it again with the Mate 20 Pro, producing an exceptional camera wrapped in a sleek design with extra-long battery life.ProsGreat displayVery fast chargingPlenty of clever tricks such as in-display fingerprint and reverse wireless chargingBattery life is fantasticConsHuawei’s software remains a weaknessI am not able to make video calls with default Dialer app i Dont know why..??? i am using Jio As a primary simLastly, The Huawei Mate 20 Pro is one of the best-looking handsets on the market Right Now",1
5,"Never felt better after using a smartphone more than this one. The last time there was this much hype for a phone, it was Samsung's Galaxy S3 in 2012. And this phone does deliver it all!Display, camera and especially the battery life are excellent.Switching from a samsung phone, this one has significantly less bloatware.EMUI is also very good, and in most cases the phone can be used with one hand.",1
1,Worse brand to buy.. within a week the price drop.. worse than Samsung.,1
3,Bought this on Dec.. Usage wise a masterpiece. But Super Charger got defect after 1 month. Went to device center got a replacement for it. After 2 months again the same issue. This super charger is a curse for this model.,0
5,"Brought this beast on Monday right after its Launch and got delivered on Tuesday (4 the Dec) . It is beyond my expectations and delivering more than I want .. unbeatable camera, power , smoothness and design and many more ... Thank you Huawei and Amazon",0
5,"This phone is not a  ""KING OF SMARTPHONES"". This phone require a software update. Most of the times finger sensor and face recognition in night is not working.",0
4,"Great camera, fast.... But I thought it was heating up a bit on continuous usage... Need to check.... Nice phone though... Initial review so will go with 4 stars😊",0
5,"Wow... This phone is awesome. Brand snobs, go take a hike!Here is the summary why I love this phone:1. Design: its very very beautiful with gradient colours and curved edges from both front and back. The signature camera module looks dope and arouses curiosity! 10/102. Display: Amoled display is very bright and Vibrant. Wish it would be more vibrant. Still an absolutely satisfying display with unparalled sharpness! 9/103. Battery: When it comes to battery this phone is King of Kings the metaphorical ""Betaj Badshah""! Works full day however heavy user you are and the best thing is charges insanely fast! Like 75 percent in 30min that's crazy!! 11/104. Performance: The performance is flagship grade as is expected from a phone at this price point. KIRIN 980 is the fastest android soc to date so you can kill it in pubg or fortnite without a hiccup! 10/105. Camera: It takes stunning portraits, Epic night shots, dazzling landscapes with its array of cameras! The only phone even close to the quality is pixel 3 but that too only in terms of portraits and night sight. Even pixel 3 cannot touch this phone in zoom performance, auto lowlights, details, resolution, wide angle, macros, flash performance, colour accuracy and edge detection! It's impossibly good. 10/106.Software: This is one place where Huawei can work better. No issues as such, the software is dizzyingly fast and responsive with impressive features like knock gestures, it just feels too much. Should be a bit lean with less oem apps. 9/107. Other features: Too many great features are an USP of this mobile. The 3d face scanning is a boon and all android makers must start using it. It's extremely fast and extremely accurate and secure all at the same time, works in multiple angles with multiple lighting conditions, even direct sunlight is no match! The in display fingerprint scanner is a tad slower but feels very futuristic and is accurate. The IR blaster, rarely found in flagships, is a life saver! 10/10Conclusion: There are no phones without cons and this phone is no exception. But the sheer number of useful innovations and tech packed into such a beautiful body is truly amazing and inspiring to the whole Industry. All in all its the most rounded and complete feeling phone to date! (and I used to think pixels are where rainbow is!)",1
5,"*Background*Previous devices: 1. Moto Z Play - had been using for 2 years, but the phone app was giving some problems. Had wanted to try iOS to understand differences with Android, so ended up buying 2. iPhone SE some 3 month back, which I was quite satisfied with except it being single SIM, and small screen (which has its advantages also especially for handling and navigating) and poor resolution (not a good experience for viewing pictures or editing them using the Lightroom app). Hence, was in no hurry to buy a phone, but was sort of missing a good quality 'proper' phone.I was following all the new releases, and my main prerequisites were: 1. Good quality camera, 2. Good battery life, 3. OLED screen, 4. Responsive phone and UI. Some of the considerations in no particular order were: 1. iPhone XS / XS Max: quite expensive, found the stock keyboard without glide / swipe feature very limiting. 2. Google Pixel 3 XL: uncertain about battery life, and some of the YouTube reviewers had demonstrated that 4 GB RAM proved somewhat insufficient. Also, Mate 20 Pro's camera's image quality seemed at par or better / marginally worse than Pixel's in most reviews I came across. 3. Note 9 / Galaxy S9+: Samsung UI is a big no-no; phone seems to get very slow after few months (wife has S8+), 4. OnePlus 6T: Absence of 2K resolution screen, camera wasn't very confidence inspiring.Coming to Huawei Mate 20 Pro: Initial apprehension was about EMUI, which I hadn't liked much, and was having preference for stock Android, but compared to all other contenders mentioned above it seemed to be the best compromise. My expectations were: good camera, good battery endurance (because of large battery and 7 nm process chip.My experience so far...*Pros*1. Look and feel: The finish, feel in the hand, the gloss and gradient of Twilight color back are all great! The accompanying case gives a bit of rhomboid pattern to the back, and it's the first time I've put a case on my phone in many years. Phone feels optimally heavy and balanced, isn't very slippery (with case on), and not too bad to use with single hand because of its relatively narrow width.2. Screen: Very sharp, and vivid. I found it a bit cool for my taste, but it's easy to change its temperature, which I did.3. Responsiveness and user interface: It's been just 2 days, but every app is very responsive. I've not installed any game, but am perfectly satisfied with this aspect. I've enabled full gesture UI, and am very, very happy happy with it. Especially, the 'back' feature used by swiping from either sides of the screens is very useful and intuitive. I wouldn't want to go back to using a back button again!4. Unlock methods: (a) Fingerprint scanner is reliable, but a bit less quick and consistent compared to capacitive sensor I had on Moto Z Play, but I hardly need to use it, because the (b) Face ID system works perfectly, very quickly and unobtrusively. I've enabled looking at the phone as a requisite to unlock, which supposedly makes it more secure. And, its responsiveness seems to improve with more number of uses.5. Battery life: Difficult to comment as it's just 2 days, but it's very impressive. Yesterday with over 3.5 h screen on time and total time since charge of 16 hours, I was left with ~65% battery. I haven't used the provided stock fast charger yet, so can't comment on the charging speed.6. Camera: Have hardly clicked any pictures, and a few I'd tried in a mundane setting under blue light of fluorescent 'tube light' were grainy, and not as sharp as I'd have liked. But when I compared with Samsung Galaxy S8+ my feeling was that Samsung's processing (especially over sharpening and noise removal with resultant loss of details upon zooming) made the pictures look better than Mate 20 Pro's, but the gradient of skin tone was captured more faithfully by the latter. There's also a 'vivid' color mode while capturing, but it makes the pictures look very artificial, but some might still indeed like it.7. Sound from external speakers. There's no exact standard to compare against, but I'm satisfied with the ringtone loudness and quality. I'd tried listening to few old Bollywood songs, and they sounded nice, but I felt iPhone SE's output had felt fuller. Quality through earphones (1MORE Triple Driver Earphone: http://amzn.in/d/57nQ1sR ) seemed good, but haven't heard much yet.*Cons*1. User interface: I find the icons a bit childish. I can use other launchers like Nova, but will lose some features. Only one major complaint I have is that to bring down the notification shade one has to swipe up all the way from the top towards the bottom. If I end up swiping from somewhat below the topmost level, 'HiVision' (a kind of quick search  for apps, web pages, etc.) gets initiated, which is annoying. I also wish double tapping on the home screen could've been assigned some feature (e.g., turning off the screen). I've enabled complete gesture navigation. Initially I was having trouble invoking the task view, but I figured out that best way to do it is to swipe up till around bottom fourth of the screen, and then drag the thumb down a bit instead of just holding it still there.[Update dated March 16, 2019: I've started using Nova launcher. Using it I can access the notification shade just by swiping down anywhere from the home screen, so I'm happy about that. Only minor grudge with the UI I now have is that the app switcher view functions in a bit unintuitive way, i.e., the most recent app automatically shifts to the right of the screen instead of remaining at the centre. Another inbuilt limitation of EUMI is that horizontal scrolling between apps in the app switcher view is very slow compared to the competing UIs like that of OnePlus, Samsung, Pixel, etc.]2. Automatic screen brightness: For some situations, the screen brightness goes too low, and I've to manually turn it up.3. New contacts are by default saved in Huawei's account instead of Google account, so I've to manually change that to latter from a drop down menu each time. Annoying! Will see if this setting can be changed.All in all, I'm very happy to have this phone, and some times I use it only because it feels so good to use it! :D Of course, the novelty will wear off in some time.I'll try to update this review with any new opinions I form, and possibly a few pictures.If you've reached till here, thanks for your attention! :)*Update with night shots*I'll say the camera is better than any other phone camera I've seen up till now. The pictures I've uploaded are from a very dark scene, and yet the details are good with very little noise. One of the pictures is from telephoto lens (3x zoom), which is the only optically stabilized lens, but with narrower aperture, and yet the font on the display board in top left of the picture is seen with very crisp boundaries. I've to agree with many YouTube reviewers that the night mode should be used only in extreme darkness if you're alright with loss of details. The dynamic range of this camera especially in dark is far better than that of Galaxy S8+ (if that helps).",1
2,"Everything is superb but the sound. Garbage is coming out of the Dolby Atmos.Only beats and muffled sounds are coming out, no feel. You can't feel the music. You can't even hear the production of a songRegretting the purchase!!M gonna switch to one plus nowBig no for a music lover!!",0
5,"I was looking for a good phone with Camera, good battery life, less heating problem after issues started with my Samsung S9 and IPhone7.. Finally after lot of research I bought Mate20 during it's initial launch in India. Now I am writing my personnel review after 3 months use..First of all hats off to Huawei for Amazing phone, I would say it is King of smartphone. Amazing battery and super-fast charging, Good camera and personally explored Mate camera in many occasions, lot Improved technologies like reverse charging etc, No heating issue in 3 months span compare to Samsung. Suggestion for Huawei to improve selfie camera like Pixel3 in upcoming variant which makes Huawei the best of smartphone industry.",1
5,late PostBought it on 3rd DecemberReview after almost 25 daysI’m coming from Blackberry to IPhone to Mate 20 proI was not at all sure to switch to android but the feature of mate 20 pro couldn’t stop me to get onProduct is beast in performanceHuawei could’ve provided tempered glass / screen protector  and camera lens protectorIts curve screen so very hard to get screen protector or tempered glass for mate 20 proWhen you keep your phone on desk or floor or Nywhwre camera lens are the one which are touched firstThe most imp thing I cant find authenticate product for Mate 20 pro anywhere in market and when asked service center even they doesn’t have any care product for mate 20 pro,0
5,Quick delivery.Look and feel is amazing.Very good display. Curved display gives very premium feel. Takes excellent pics. Phone feels very fast I regular use.I'll update my observation after using couple of days.,0
5,The phone overall is absolutely beast.Battery life is too good best in flagship mobiles.Face recognition works absolutely great even in very dark.Low light camera mode:- I don't know what they have done to this but this gives great quality of photo even in very low light.The display though is same as galaxy s9 plus actually greater quality then that except the notch.The notch can be disabled even the space can be used by the battery % or other things.The camera is great especially the wide angle is absolutely fantastic.The camera helps you to take the picture in 98% of situations in daily usage.The battery gives u 7-8 hours of on screen.If u play pubg or fortnite and use harsh or hard usage through out the day u still remain with 40% of battery before going to bedThe mobile charges very fast u cannot believe it.It neads 10 min charge then done a day full of battery.The front camera is not that good but okay in overall.The mobile looks fantastic premium in hand.,1
5,All aspects it's wonderful.but don't buy any huawei phones or it's sub Brand Honor's phone.on 20 th of May Google has gives announcement that from today onwards they will never support those company about any support of software Android version and updates.so wait for huawei reaction what will they say.,0
5,"Glad I bought it the first day of launch. This is the best smartphones as of now in the market. Beats all flagships ( apple, pixel, Samsung, one plus) hands down with its performance, camera and the sheer looks.Lucky to have got the free awesome PCX550 wireless headphone as well.Best buy !",1
5,Huawei mate 20 pro is arguably the best smart phone in the market.I have been using note 8 for the past 14 months and the battery life of note was bad. I am a heavy phone user and mate 20 pro gives me good 1 day. With heavy usage.The only downside I found with the phone was the front camera which tends to bleach any photo you take.,1
5,Lets make it short.Camera is not that good S9plus camera quality is far better Dxo camera rating is corrupt.Always on display has no options to choose from.Battery is awesome it gives 6hours screen on time where S9plus is 3.5 hours. And still its slim and gives good feel. And every thing is good or you can say similar to samsung flagship,1
5,The good points have been listed by everyone already. Only con is the finger print sensor - Needs a lot of improvement. Face unlock is quick and works better on this phone. Another issue is the soft cover provided with the phone. It's not structured to protect the rear camera. One will have to go for a better cover built by third parties,0
5,"Crisp performer, very good camera, battery is awesome.. Charger is best 40watt.Selfie camera needs to improve not as good compare to note9.Overall great product",1
5,Awesome phone.... Far better than samsung note series... Using note 8 but in all departments mate 20 pro beats note series... In note series battery drains fast but mate 20 pro got longevity in battery... Further mate 20 got ir blaster which is lacking in note series.,1
4,Super camera like a DSLR 📸Super battery lifeBut ram or. Strong I do not like good.1 plus 6t Better than this.And Fingerprint scanner does not work in glass Guard only works in buff guard.Wireless charger with it was free But not given me.Working customers to make owls out of Amazon.,1
5,"I received it on 4th Dec after booking on 3rd Dec.I strike jackpot at 71,990/- price with Senneheiser PXC 550 Headphones.Mate 20 Pro is far superior than One plus 6T or IPhone X as compared.Camera is the main feature of this mobile.You can take miniatures in Super Macro mode.It consists 3 back Camera's & 1 front camera.Battery is Superb with 2 days + Talk time.Slim to fit perfect in your hands.Overall it's a Great Phone with Great features,Great Cameras,Great Display.You have to go for it to feel it's power.",1
5,I like camera,0
5,"24 hours of using this phone. Last phone Samsung Note 9 - I have been a Samsung fan past few years, my first Huawei Experience and it's been fantastic. I bought the Note 9 just coz of the S Pen but only used it few times while clicking photos. It was not easy to hold in hand coz of its big size and the battery life sucks considering I am power user where I stream Netflix every day while commuting to the office. Huawei has impressed me with the battery life trust me its the best on any phone I have ever seen. The fast charger is superb like 70% charge in 30minutes or so. The camera is absolutely magic, way better than Note 9. Will use it for a few days and then see how Huawei makes me a complete fan of its brand or will switch to Note 10 in the future. For now its 5 out of 5.",1
5,"Huawei mate 20 pro is an exceptionally brilliant phone. Camera quality, battery backup, speed etc all is top notch. I could easily put this up in top, compared to any current android phone out there in market. My only con is that it is not using a regular micro sd card though 128gb of internal space should be sufficient but excess 4k recordings will fill that in no time.",1
4,"The phone is actually really very good, but the price Huawei charges for this phone is high. I was & am still using The Galaxy Note 9 and I'm gonna stick with it. I'll probably sell the Mate 20 pro. Detailed review below.1) I just love the Mates battery backup, it's the best flagship phone with excellent battery backup. Better then the note 9. The phone charges very fast too. 10/10 for battery. And the reverse wireless charging us just a gimmick. It charges other phones very slowly.2) The mate 20 pro screams PREMIUM. The curved AMOLED 2K display, textured glass back, the slim profile, coloured power button & everything else is eye catching. 9/10 for design.3) I'm not into mobile gaming so no comments on gaming, but the performance of the phone is so fluid. The phone feels snappy & fast. I have the EMUI. I always prefer stock Android or the OnePlus oxygen UI. Still their are loads of customization options but the UI still needs tweaking. 9/10 for performance, 7/10 for UI.4) the finally the camera or in other words CAMERAS, one of The best cameras I've ever used on a phone (please don't compare with pixel 3) the ultra wide angle camera changes the whole perspective of mobile photography. You have to use it to believe it. 9/10 for camera.Verdict: I consider this phone worth 60k to 63k, but if you have the money to spend, just go for it. One of the best smartphones of 2018..........",1
5,"Amazing product from Huawei, some of the pros are:The edge display, quad HD display, face recognition quality, the camera and battery.OverallBuild quality is very good and the highlight for me is the twilight blue color. It's an absolute head turner.Cons are yet to be found on the operational stand view, maybe the pricing could have been better. I felt the pricing to be slightly on the higher side. But that's a personal openion.",0
5,"A very ergonomic, robust and best quality phone available in the market. Has features which even the Samsung, iPhone do not have. Great speed, smooth to work between apps, great phone for multi tasking. Battery life is great. A full charging comes for. Me for solid 2 days.",1
4,"Bought mate 20 pro on December 5th 2018. Pros:Best phone with so many features that you can explore, awesome camera, better battery life and good screen.Con:The only con I saw was, the in screen finger print recognition is not good its hard many times for quick access.",1
4,phone is best. camera quality is best to best every right now to compare all smart phones. but music time phone performance to bad not bass in heardfone.and Bluetooth earpiece sound sound quality to poor. after few days facing battery draining issue.,1
